scope,controller,episodes,effective_win,own_wez,opp_wez,max_G,G_integral,shield_rate
aggregate_theta_3_5,ppo,300,0.6883333333333334,0.009367506679786985,0.004779284669935975,9.166519089014791,582.4997718601679,0.0
aggregate_theta_3_5,ppo_shield,300,0.7816666666666666,0.019123775307726156,0.003670285115272355,9.370249124368586,597.9596212524121,0.0022457129553859387
theta_3,ppo,150,0.7466666666666667,0.006606386873995325,0.0007575527680644248,8.876287354974686,768.062177166374,0.0
theta_3,ppo_shield,150,0.8133333333333334,0.008680732629183466,0.00017777777777777776,9.002651291735807,864.926846283205,0.0
theta_5,ppo,150,0.63,0.012128626485578643,0.008801016571807525,9.456750823054898,396.93736655396157,0.0
theta_5,ppo_shield,150,0.75,0.029566817986268847,0.007162792452766933,9.737846957001365,330.9923962216191,0.0044914259107718775
