scope,metric,observed_delta_shield_minus_ppo,seed0_mean_delta,seed1_mean_delta,seed2_mean_delta,seed_block_boot_ci95_lo,seed_block_boot_median,seed_block_boot_ci95_hi,seed_block_boot_status,seed_mean_t_ci95_lo,seed_mean_t_ci95_hi,seed_mean_t_status,all_three_seed_means_same_nonzero_sign,final_conservative_status,bootstrap_replicates
aggregate_theta_3_5,effective_win,0.09333333333333334,0.14,-0.24,0.38,-0.23666666666666666,0.09666666666666668,0.36999999999999994,UNRESOLVED,-0.6832660181677576,0.8699326848344243,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
aggregate_theta_3_5,own_wez,0.009756268627939173,0.004642891175515462,0.0078277956384217,0.016798119069880355,0.004499517328407871,0.009556982496949773,0.016432583226725635,SUPPORTED_POSITIVE,-0.005901022452357683,0.025413559708236028,UNRESOLVED,True,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
aggregate_theta_3_5,opp_wez,-0.0011089995546636198,0.0018686202091089882,-0.001137891820174674,-0.0040577270529251735,-0.00403463764073899,-0.001111061123808002,0.0018693542445285013,UNRESOLVED,-0.008470193343263998,0.006252194233936759,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
aggregate_theta_3_5,max_G,0.20373003535379466,0.9609925635410638,-0.5609378656319174,0.2111354081522377,-0.5535887425968847,0.2022270478858564,0.9447785851258755,UNRESOLVED,-1.6866794833987584,2.0941395541063477,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
aggregate_theta_3_5,G_integral,15.459849392244315,-208.8938480087201,239.19711426749006,16.076281917962994,-201.93592651706038,15.173420951018782,232.76224967275488,UNRESOLVED,-541.1015594133846,572.0212581978733,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
aggregate_theta_3_5,shield_rate,0.0022457129553859387,0.006737138866157816,0.0,0.0,0.0,0.002162983970949866,0.006387568851792379,UNRESOLVED,-0.007416810022702485,0.011908235933474363,UNRESOLVED,True,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_3,effective_win,0.06666666666666667,0.48,-0.5,0.22,-0.5,0.06999999999999999,0.4766666666666666,UNRESOLVED,-1.1944665460339605,1.3277998793672938,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_3,own_wez,0.00207434575518814,0.012202922956796126,-0.01437437347837715,0.008394487787145443,-0.014107494776231551,0.002205794614217764,0.012076376037550275,UNRESOLVED,-0.03362698433996112,0.0377756758503374,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_3,opp_wez,-0.000579774990286647,-0.0005333333333333334,0.0003806615776081425,-0.00158665321513475,-0.00164266521858988,-0.0005545113139059045,0.0003362171331636981,UNRESOLVED,-0.0030253571483851954,0.0018658071678119017,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_3,max_G,0.12636393676112315,1.2994413551202777,-1.0786438222012993,0.158294277364391,-1.0626079445417582,0.12526697632679065,1.2840479905432354,UNRESOLVED,-2.828180251334669,3.080908124856916,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_3,G_integral,96.86466911683105,-362.45458369063215,543.0446321889918,110.00395885213344,-352.9487916119206,98.37503246334308,540.3416679689769,UNRESOLVED,-1028.1828660036354,1221.9122042372974,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_3,shield_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNRESOLVED,0.0,0.0,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_5,effective_win,0.12,-0.2,0.02,0.54,-0.19333333333333336,0.11666666666666665,0.5266666666666666,UNRESOLVED,-0.8239723305006261,1.0639723305006261,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_5,own_wez,0.017438191500690203,-0.002917140605765204,0.030029964755220552,0.025201750352615265,-0.002642487899167255,0.017497380254128954,0.03121845095263489,UNRESOLVED,-0.026761493044715243,0.06163787604609565,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_5,opp_wez,-0.0016382241190405931,0.00427057375155131,-0.002656445217957491,-0.006528800890715598,-0.006733829370316088,-0.0017598877527966812,0.004193817599346632,UNRESOLVED,-0.015229477955838712,0.011953029717757524,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_5,max_G,0.28109613394646615,0.6225437719618496,-0.04323190906253551,0.2639765389400844,-0.046528793684292934,0.2779006702745392,0.6286363208828676,UNRESOLVED,-0.5466628532490092,1.1088551211419415,UNRESOLVED,False,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
theta_5,G_integral,-65.94497033234245,-55.33311232680816,-64.65040365401175,-77.85139501620745,-118.30261674823915,-65.58147513942087,-14.262238701565284,SUPPORTED_NEGATIVE,-94.052545716769,-37.83739494791589,SUPPORTED_NEGATIVE,True,ROBUST_NEGATIVE,100000
theta_5,shield_rate,0.0044914259107718775,0.013474277732315632,0.0,0.0,0.0,0.0043377672606327,0.01282289549116536,UNRESOLVED,-0.01483362004540497,0.023816471866948727,UNRESOLVED,True,UNRESOLVED_ACROSS_TRAINING_SEEDS,100000
