controller,seed,split,episodes,wins,losses,ties,effective_win_rate,effective_win_rate_ci95_low,effective_win_rate_ci95_high,WEZ_occupancy_mean,WEZ_occupancy_std,sustained_ATA_deg_mean,sustained_ATA_deg_std,time_to_merge_s_mean,time_to_merge_s_std,G_exposure_integral_mean,G_exposure_integral_std,max_G_mean,max_G_std,mean_ATA_blue_deg_mean,mean_ATA_blue_deg_std,min_distance_m_mean,min_distance_m_std,shield_intervention_rate_mean,shield_intervention_rate_std,shield_intervention_count_mean,shield_intervention_count_std,steps_mean,steps_std,total_reward_mean,total_reward_std,done_cause_counts_json
ppo,2,eval,50,19,24,7,0.45,0.3121017766611912,0.5878982233388088,0.005507944275804017,0.006270508796610081,3.39655671189153,0.983664932104824,12.48,0.9527618286018896,457.459427831957,240.8707562887162,9.543824111055086,1.0993504289785307,53.518542980858456,15.670525809744314,48.17700555867396,32.39181762970896,0.0,0.0,0.0,0.0,102.44,51.74906486387667,401.693264514392,391.12137232294754,"{""blue_kill"": 19, ""collision"": 7, ""red_kill"": 24}"
ppo,2,train,770,496,208,66,0.687012987012987,0.6542595906439997,0.7197663833819742,0.03072586788601062,0.032554615813190975,3.2897759889738207,0.9868178828782359,12.503896103896103,1.0952600986066667,284.2356861081331,194.83434943668732,9.430836610084452,1.1458212412456747,49.82642667892282,14.95364907809777,121.85406717927178,93.15692632864925,0.0,0.0,0.0,0.0,64.93766233766233,43.05841750837306,232.08795176934754,260.18314764095237,"{""blue_kill"": 496, ""collision"": 66, ""red_kill"": 208}"
