theta_deg,controller,seed,split,episodes,wins,losses,ties,effective_win_rate,effective_win_rate_ci95_low,effective_win_rate_ci95_high,WEZ_occupancy_mean,sustained_ATA_deg_mean,time_to_merge_s_mean,G_exposure_integral_mean,max_G_mean,mean_ATA_blue_deg_mean,min_distance_m_mean,shield_intervention_rate_mean,shield_intervention_count_mean,steps_mean,total_reward_mean,done_cause_counts_json,veto_reasons_counts_json,maneuver_transitions_counts_json
3,ppo,1,eval,50,50,0,0,1.0,1.0,1.0,0.016793612763939734,1.540899631762455,12.72,504.57372795676997,9.464415811338121,63.6950293530012,73.45532621689678,0.0,0.0,124.36,398.48453215818904,"{""blue_kill"": 50}",{},"{""5->5"": 6168}"
3,ppo,1,train,285,127,115,43,0.5210526315789473,0.46305392161747555,0.5790513415404192,0.0074685602224800985,1.9260346665641603,13.642105263157895,640.9223083320554,8.764435263404591,78.62683508925369,113.85711260713907,0.0,0.0,175.49122807017545,397.6788752044419,"{""blue_kill"": 127, ""blue_safety_violation"": 2, ""collision"": 7, ""not_done"": 36, ""red_kill"": 113}",{},"{""0->0"": 19, ""0->1"": 25, ""0->2"": 55, ""0->3"": 16, ""0->4"": 14, ""0->5"": 109, ""0->6"": 141, ""0->7"": 20, ""1->0"": 15, ""1->1"": 62, ""1->2"": 156, ""1->3"": 46, ""1->4"": 32, ""1->5"": 295, ""1->6"": 343, ""1->7"": 50, ""2->0"": 67, ""2->1"": 156, ""2->2"": 2009, ""2->3"": 215, ""2->4"": 128, ""2->5"": 1326, ""2->6"": 1575, ""2->7"": 92, ""3->0"": 15, ""3->1"": 38, ""3->2"": 207, ""3->3"": 34, ""3->4"": 25, ""3->5"": 173, ""3->6"": 271, ""3->7"": 30, ""4->0"": 8, ""4->1"": 40, ""4->2"": 132, ""4->3"": 24, ""4->4"": 13, ""4->5"": 138, ""4->6"": 166, ""4->7"": 21, ""5->0"": 113, ""5->1"": 293, ""5->2"": 1344, ""5->3"": 187, ""5->4"": 140, ""5->5"": 11538, ""5->6"": 5975, ""5->7"": 57, ""6->0"": 142, ""6->1"": 338, ""6->2"": 1586, ""6->3"": 243, ""6->4"": 170, ""6->5"": 6039, ""6->6"": 12554, ""6->7"": 198, ""7->0"": 24, ""7->1"": 49, ""7->2"": 91, ""7->3"": 27, ""7->4"": 25, ""7->5"": 68, ""7->6"": 176, ""7->7"": 52}"
3,ppo,2,eval,50,30,1,19,0.79,0.6770999167405091,0.902900083259491,0.006314860998471759,2.252359014760513,12.46,806.4124227835678,9.772502161234378,47.85357908660614,48.68119148352353,0.0,0.0,184.94,1228.8415407451223,"{""blue_kill"": 30, ""collision"": 13, ""not_done"": 6, ""red_kill"": 1}",{},"{""7->7"": 9197}"
3,ppo,2,train,371,278,73,20,0.7762803234501348,0.7338740121626892,0.8186866347375803,0.015047225057368004,1.8679511519827012,12.733153638814017,568.3389625017431,9.361020610828122,66.82382666699225,87.10622349359991,0.0,0.0,134.9757412398922,396.95227810484755,"{""blue_kill"": 278, ""blue_safety_violation"": 3, ""collision"": 11, ""not_done"": 9, ""red_kill"": 70}",{},"{""0->0"": 12, ""0->1"": 19, ""0->2"": 22, ""0->3"": 20, ""0->4"": 48, ""0->5"": 49, ""0->6"": 28, ""0->7"": 26, ""1->0"": 17, ""1->1"": 45, ""1->2"": 59, ""1->3"": 42, ""1->4"": 156, ""1->5"": 277, ""1->6"": 130, ""1->7"": 71, ""2->0"": 16, ""2->1"": 48, ""2->2"": 90, ""2->3"": 78, ""2->4"": 175, ""2->5"": 302, ""2->6"": 156, ""2->7"": 172, ""3->0"": 30, ""3->1"": 61, ""3->2"": 70, ""3->3"": 75, ""3->4"": 201, ""3->5"": 425, ""3->6"": 192, ""3->7"": 102, ""4->0"": 36, ""4->1"": 138, ""4->2"": 190, ""4->3"": 230, ""4->4"": 1454, ""4->5"": 3220, ""4->6"": 922, ""4->7"": 915, ""5->0"": 55, ""5->1"": 277, ""5->2"": 292, ""5->3"": 409, ""5->4"": 3254, ""5->5"": 19935, ""5->6"": 2598, ""5->7"": 1691, ""6->0"": 29, ""6->1"": 133, ""6->2"": 139, ""6->3"": 193, ""6->4"": 919, ""6->5"": 2576, ""6->6"": 1339, ""6->7"": 418, ""7->0"": 29, ""7->1"": 84, ""7->2"": 182, ""7->3"": 113, ""7->4"": 924, ""7->5"": 1645, ""7->6"": 403, ""7->7"": 1749}"
3,ppo_shield,0,eval,50,27,2,21,0.75,0.6299750026036243,0.8700249973963757,0.005392211152472784,2.189250104570429,12.42,786.811311662603,9.564657344210444,47.70662155652173,45.143030387339735,0.0,0.0,179.32,1155.6951398919546,"{""blue_kill"": 27, ""collision"": 14, ""not_done"": 7, ""red_kill"": 2}",{},"{""7->7"": 8916}"
3,ppo_shield,0,train,445,394,38,13,0.9,0.8721261267673693,0.9278738732326307,0.022959909273645634,2.0233592575715384,12.748314606741573,491.3495746186578,9.446690850754978,58.43830070128465,99.4935104367083,0.003396811458529081,0.4966292134831461,112.6876404494382,422.5158350213391,"{""blue_kill"": 394, ""blue_safety_violation"": 1, ""collision"": 6, ""not_done"": 7, ""red_kill"": 37}","{""altitude_floor_climb"": 2, ""opponent_WEZ_escape"": 219}","{""0->0"": 32, ""0->1"": 18, ""0->2"": 25, ""0->3"": 51, ""0->4"": 249, ""0->5"": 84, ""0->6"": 38, ""0->7"": 55, ""1->0"": 28, ""1->1"": 17, ""1->2"": 17, ""1->3"": 25, ""1->4"": 108, ""1->5"": 50, ""1->6"": 23, ""1->7"": 19, ""2->0"": 18, ""2->1"": 17, ""2->2"": 20, ""2->3"": 17, ""2->4"": 124, ""2->5"": 55, ""2->6"": 29, ""2->7"": 41, ""3->0"": 30, ""3->1"": 18, ""3->2"": 25, ""3->3"": 29, ""3->4"": 259, ""3->5"": 111, ""3->6"": 44, ""3->7"": 68, ""4->0"": 260, ""4->1"": 120, ""4->2"": 115, ""4->3"": 272, ""4->4"": 13907, ""4->5"": 4887, ""4->6"": 276, ""4->7"": 2018, ""5->0"": 81, ""5->1"": 48, ""5->2"": 55, ""5->3"": 82, ""5->4"": 4893, ""5->5"": 9384, ""5->6"": 172, ""5->7"": 2655, ""6->0"": 36, ""6->1"": 18, ""6->2"": 26, ""6->3"": 58, ""6->4"": 262, ""6->5"": 165, ""6->6"": 185, ""6->7"": 96, ""7->0"": 62, ""7->1"": 32, ""7->2"": 36, ""7->3"": 48, ""7->4"": 2005, ""7->5"": 2632, ""7->6"": 108, ""7->7"": 2963}"
3,ppo_shield,1,eval,50,0,2,48,0.48,0.34151798961597934,0.6184820103840206,0.00047017543859649124,2.5078337102869184,12.74,1078.1093957829173,8.267919079561365,70.78468218399124,82.99483323057011,0.0,0.0,299.5,860.0692306552833,"{""not_done"": 48, ""red_kill"": 2}",{},"{""6->6"": 14925}"
3,ppo_shield,1,train,221,53,87,81,0.4230769230769231,0.35793980216570254,0.4882140439881436,0.004016272333759629,2.0248246512492205,12.7420814479638,869.9235291251429,8.522689180834806,75.19120411721032,86.03723027076013,0.007223870762642083,1.1357466063348416,226.49321266968326,509.2824798205411,"{""blue_kill"": 53, ""blue_safety_violation"": 1, ""collision"": 2, ""not_done"": 79, ""red_kill"": 86}","{""altitude_floor_climb"": 2, ""low_altitude_maneuver_veto"": 2, ""opponent_WEZ_escape"": 247}","{""0->0"": 32, ""0->1"": 46, ""0->2"": 32, ""0->3"": 36, ""0->4"": 23, ""0->5"": 133, ""0->6"": 240, ""0->7"": 24, ""1->0"": 39, ""1->1"": 88, ""1->2"": 32, ""1->3"": 63, ""1->4"": 59, ""1->5"": 176, ""1->6"": 242, ""1->7"": 38, ""2->0"": 28, ""2->1"": 34, ""2->2"": 15, ""2->3"": 29, ""2->4"": 30, ""2->5"": 93, ""2->6"": 163, ""2->7"": 22, ""3->0"": 32, ""3->1"": 54, ""3->2"": 39, ""3->3"": 75, ""3->4"": 45, ""3->5"": 337, ""3->6"": 675, ""3->7"": 39, ""4->0"": 29, ""4->1"": 46, ""4->2"": 20, ""4->3"": 46, ""4->4"": 26, ""4->5"": 176, ""4->6"": 225, ""4->7"": 26, ""5->0"": 131, ""5->1"": 173, ""5->2"": 91, ""5->3"": 318, ""5->4"": 180, ""5->5"": 3596, ""5->6"": 5056, ""5->7"": 118, ""6->0"": 246, ""6->1"": 254, ""6->2"": 160, ""6->3"": 692, ""6->4"": 213, ""6->5"": 5061, ""6->6"": 29219, ""6->7"": 215, ""7->0"": 29, ""7->1"": 40, ""7->2"": 24, ""7->3"": 35, ""7->4"": 24, ""7->5"": 114, ""7->6"": 214, ""7->7"": 24}"
3,ppo_shield,2,eval,50,0,1,49,0.49,0.3514347922456723,0.6285652077543277,0.0002,2.5971341263418757,12.54,1080.5747195125662,8.209736198542341,70.35190887408511,93.56647455808702,0.0,0.0,299.88,889.0509159983827,"{""not_done"": 49, ""red_kill"": 1}",{},"{""6->6"": 14944}"
3,ppo_shield,2,train,394,343,23,28,0.9060913705583756,0.8772877747014983,0.9348949664152529,0.023566623284896518,2.0789990216453007,12.565989847715736,551.0349374221545,9.367564384415735,57.79701675303638,107.99109096411404,0.0021398966964588186,0.3248730964467005,127.40862944162437,520.431195716863,"{""blue_kill"": 343, ""collision"": 1, ""not_done"": 27, ""red_kill"": 23}","{""altitude_floor_climb"": 1, ""low_altitude_maneuver_veto"": 5, ""opponent_WEZ_escape"": 122}","{""0->0"": 10, ""0->1"": 13, ""0->2"": 13, ""0->3"": 17, ""0->4"": 128, ""0->5"": 18, ""0->6"": 34, ""0->7"": 27, ""1->0"": 12, ""1->1"": 30, ""1->2"": 23, ""1->3"": 24, ""1->4"": 203, ""1->5"": 52, ""1->6"": 77, ""1->7"": 55, ""2->0"": 11, ""2->1"": 14, ""2->2"": 19, ""2->3"": 23, ""2->4"": 169, ""2->5"": 20, ""2->6"": 61, ""2->7"": 42, ""3->0"": 19, ""3->1"": 30, ""3->2"": 11, ""3->3"": 34, ""3->4"": 295, ""3->5"": 54, ""3->6"": 99, ""3->7"": 95, ""4->0"": 118, ""4->1"": 219, ""4->2"": 157, ""4->3"": 314, ""4->4"": 26275, ""4->5"": 564, ""4->6"": 2920, ""4->7"": 2931, ""5->0"": 20, ""5->1"": 38, ""5->2"": 19, ""5->3"": 44, ""5->4"": 590, ""5->5"": 48, ""5->6"": 169, ""5->7"": 100, ""6->0"": 39, ""6->1"": 71, ""6->2"": 69, ""6->3"": 117, ""6->4"": 2897, ""6->5"": 163, ""6->6"": 4643, ""6->7"": 540, ""7->0"": 33, ""7->1"": 60, ""7->2"": 50, ""7->3"": 68, ""7->4"": 2918, ""7->5"": 113, ""7->6"": 519, ""7->7"": 1247}"
