controller,split,episodes,wins,losses,ties,effective_win_rate,effective_win_rate_ci95_low,effective_win_rate_ci95_high,WEZ_occupancy_mean,sustained_ATA_deg_mean,time_to_merge_s_mean,G_exposure_integral_mean,max_G_mean,mean_ATA_blue_deg_mean,min_distance_m_mean,shield_intervention_rate_mean,shield_intervention_count_mean,steps_mean,total_reward_mean,done_cause_counts_json,veto_reasons_counts_json,maneuver_transitions_counts_json
dqn,eval,200,16,3,181,0.5325,0.4633500791757503,0.6016499208242496,0.0014785765707820478,0.676828173114752,12.55,1145.6073770468977,11.377594889771055,44.00215425723063,112.3324625531485,0.0,0.0,282.285,2967.972030703535,"{""blue_kill"": 15, ""blue_safety_violation"": 3, ""collision"": 8, ""not_done"": 173, ""red_safety_violation"": 1}",{},"{""0->0"": 202, ""0->1"": 19, ""0->2"": 13, ""0->3"": 34, ""0->4"": 81, ""0->5"": 39, ""0->6"": 41, ""0->7"": 75, ""1->0"": 31, ""1->1"": 168, ""1->2"": 14, ""1->3"": 19, ""1->4"": 67, ""1->5"": 100, ""1->6"": 49, ""1->7"": 35, ""2->0"": 58, ""2->1"": 45, ""2->2"": 2483, ""2->3"": 287, ""2->4"": 364, ""2->5"": 370, ""2->6"": 105, ""2->7"": 95, ""3->0"": 34, ""3->1"": 60, ""3->2"": 487, ""3->3"": 1965, ""3->4"": 80, ""3->5"": 162, ""3->6"": 20, ""3->7"": 98, ""4->0"": 41, ""4->1"": 17, ""4->2"": 314, ""4->3"": 110, ""4->4"": 11617, ""4->5"": 513, ""4->6"": 276, ""4->7"": 191, ""5->0"": 57, ""5->1"": 113, ""5->2"": 312, ""5->3"": 202, ""5->4"": 413, ""5->5"": 29435, ""5->6"": 388, ""5->7"": 75, ""6->0"": 38, ""6->1"": 50, ""6->2"": 103, ""6->3"": 27, ""6->4"": 251, ""6->5"": 379, ""6->6"": 1574, ""6->7"": 90, ""7->0"": 29, ""7->1"": 12, ""7->2"": 100, ""7->3"": 274, ""7->4"": 137, ""7->5"": 97, ""7->6"": 37, ""7->7"": 1285}"
dqn,train,715,58,63,594,0.4965034965034965,0.4598544706360541,0.5331525223709389,0.0014049583008198675,0.664877872871918,12.806722689075631,1122.463543782929,11.65334581102546,72.40406199000489,116.48540930591287,0.0,0.0,280.379020979021,1835.0307251878864,"{""blue_kill"": 57, ""blue_safety_violation"": 43, ""collision"": 13, ""not_done"": 581, ""red_kill"": 20, ""red_safety_violation"": 1}",{},"{""0->0"": 1587, ""0->1"": 472, ""0->2"": 1070, ""0->3"": 734, ""0->4"": 1284, ""0->5"": 1112, ""0->6"": 663, ""0->7"": 887, ""1->0"": 504, ""1->1"": 1204, ""1->2"": 936, ""1->3"": 643, ""1->4"": 1226, ""1->5"": 1017, ""1->6"": 660, ""1->7"": 906, ""2->0"": 1359, ""2->1"": 1263, ""2->2"": 23422, ""2->3"": 2282, ""2->4"": 2542, ""2->5"": 3051, ""2->6"": 1552, ""2->7"": 1788, ""3->0"": 834, ""3->1"": 731, ""3->2"": 3204, ""3->3"": 7633, ""3->4"": 1341, ""3->5"": 1585, ""3->6"": 773, ""3->7"": 1026, ""4->0"": 997, ""4->1"": 1009, ""4->2"": 2328, ""4->3"": 1588, ""4->4"": 29523, ""4->5"": 3011, ""4->6"": 1633, ""4->7"": 2242, ""5->0"": 1034, ""5->1"": 1101, ""5->2"": 2791, ""5->3"": 1774, ""5->4"": 2730, ""5->5"": 45109, ""5->6"": 1669, ""5->7"": 1805, ""6->0"": 562, ""6->1"": 581, ""6->2"": 1513, ""6->3"": 775, ""6->4"": 1729, ""6->5"": 1509, ""6->6"": 4411, ""6->7"": 1299, ""7->0"": 794, ""7->1"": 738, ""7->2"": 2086, ""7->3"": 1654, ""7->4"": 2006, ""7->5"": 1731, ""7->6"": 1029, ""7->7"": 7704}"
ppo,eval,450,278,26,146,0.78,0.7417255942785086,0.8182744057214915,0.010496008281098647,1.914792227293892,12.526666666666667,768.040669748205,9.386206592636109,59.736156056875295,69.79763418544984,0.0,0.0,184.32888888888888,825.5433711059026,"{""blue_kill"": 278, ""collision"": 21, ""not_done"": 125, ""red_kill"": 26}",{},"{""4->4"": 22110, ""4->6"": 575, ""5->5"": 25484, ""5->7"": 7, ""6->4"": 596, ""6->6"": 19445, ""7->5"": 7, ""7->7"": 14274}"
ppo,train,3419,1914,772,733,0.6670078970459199,0.6512103747883655,0.6828054193034743,0.018840209713841868,2.7423441194436533,12.753729160573267,552.2186031534377,9.35791637630762,61.60358967473631,103.28057871301145,0.0,0.0,131.8420590816028,447.35649285680074,"{""blue_kill"": 1914, ""blue_safety_violation"": 20, ""collision"": 162, ""not_done"": 571, ""red_kill"": 752}",{},"{""0->0"": 205, ""0->1"": 209, ""0->2"": 373, ""0->3"": 275, ""0->4"": 805, ""0->5"": 676, ""0->6"": 722, ""0->7"": 933, ""1->0"": 239, ""1->1"": 366, ""1->2"": 618, ""1->3"": 375, ""1->4"": 1427, ""1->5"": 1415, ""1->6"": 1265, ""1->7"": 959, ""2->0"": 353, ""2->1"": 607, ""2->2"": 3143, ""2->3"": 774, ""2->4"": 2096, ""2->5"": 3400, ""2->6"": 3332, ""2->7"": 2362, ""3->0"": 290, ""3->1"": 349, ""3->2"": 747, ""3->3"": 455, ""3->4"": 1439, ""3->5"": 1581, ""3->6"": 1384, ""3->7"": 1219, ""4->0"": 759, ""4->1"": 1439, ""4->2"": 2115, ""4->3"": 1492, ""4->4"": 43626, ""4->5"": 14311, ""4->6"": 10652, ""4->7"": 12786, ""5->0"": 676, ""5->1"": 1430, ""5->2"": 3419, ""5->3"": 1537, ""5->4"": 14494, ""5->5"": 100982, ""5->6"": 16601, ""5->7"": 10717, ""6->0"": 735, ""6->1"": 1228, ""6->2"": 3197, ""6->3"": 1343, ""6->4"": 10534, ""6->5"": 16873, ""6->6"": 44216, ""6->7"": 7541, ""7->0"": 957, ""7->1"": 1052, ""7->2"": 2505, ""7->3"": 1209, ""7->4"": 12769, ""7->5"": 10577, ""7->6"": 7492, ""7->7"": 53692}"
ppo_shield,eval,450,131,40,279,0.6011111111111112,0.5558679270106902,0.6463542952115321,0.005195844541166781,2.413331327128117,12.524444444444445,917.4297449324673,8.996247527254988,60.56785156620826,70.95356980440133,0.0003221549003411105,0.07777777777777778,229.00666666666666,970.343856306707,"{""blue_kill"": 131, ""collision"": 36, ""not_done"": 243, ""red_kill"": 40}","{""altitude_floor_climb"": 2, ""low_altitude_maneuver_veto"": 5, ""opponent_WEZ_escape"": 28}","{""1->1"": 13, ""1->7"": 8, ""4->4"": 18238, ""4->5"": 2, ""4->6"": 487, ""4->7"": 2, ""5->4"": 2, ""5->5"": 5148, ""5->7"": 306, ""6->4"": 484, ""6->6"": 52365, ""6->7"": 3, ""7->1"": 8, ""7->4"": 2, ""7->5"": 313, ""7->6"": 3, ""7->7"": 25219}"
ppo_shield,train,3797,2469,619,709,0.743613378983408,0.7297248244116988,0.7575019335551171,0.02525773803342195,2.763537327045073,12.65130366078483,501.67173562113487,9.368889076112174,57.73566921543455,123.36153666208322,0.005087274893700806,1.0055306821174612,118.759547010798,431.0330640157062,"{""blue_kill"": 2469, ""blue_safety_violation"": 8, ""collision"": 138, ""not_done"": 571, ""red_kill"": 611}","{""altitude_floor_climb"": 48, ""low_altitude_maneuver_veto"": 96, ""opponent_WEZ_escape"": 3674}","{""0->0"": 411, ""0->1"": 305, ""0->2"": 330, ""0->3"": 291, ""0->4"": 1144, ""0->5"": 696, ""0->6"": 808, ""0->7"": 861, ""1->0"": 303, ""1->1"": 876, ""1->2"": 357, ""1->3"": 352, ""1->4"": 1653, ""1->5"": 1175, ""1->6"": 1082, ""1->7"": 2946, ""2->0"": 295, ""2->1"": 349, ""2->2"": 1179, ""2->3"": 373, ""2->4"": 1724, ""2->5"": 1106, ""2->6"": 1349, ""2->7"": 2402, ""3->0"": 257, ""3->1"": 312, ""3->2"": 385, ""3->3"": 398, ""3->4"": 1395, ""3->5"": 1336, ""3->6"": 1768, ""3->7"": 1470, ""4->0"": 1099, ""4->1"": 1714, ""4->2"": 1648, ""4->3"": 1422, ""4->4"": 88769, ""4->5"": 10839, ""4->6"": 8603, ""4->7"": 18328, ""5->0"": 677, ""5->1"": 1108, ""5->2"": 1134, ""5->3"": 1250, ""5->4"": 10851, ""5->5"": 63979, ""5->6"": 9182, ""5->7"": 11315, ""6->0"": 847, ""6->1"": 1066, ""6->2"": 1286, ""6->3"": 1797, ""6->4"": 8453, ""6->5"": 9146, ""6->6"": 51991, ""6->7"": 9695, ""7->0"": 956, ""7->1"": 3009, ""7->2"": 2464, ""7->3"": 1429, ""7->4"": 18388, ""7->5"": 11217, ""7->6"": 9618, ""7->7"": 54165}"
rule,eval,250,0,0,250,0.5,0.4380193578606998,0.5619806421393002,5.333333333333334e-05,0.5545791668891809,12.568,696.1729758110177,9.464742921213544,44.46483149365279,16.757304350470076,0.0,0.0,142.428,372.1346800032476,"{""collision"": 193, ""not_done"": 57}",{},"{""1->1"": 2441, ""1->2"": 2, ""1->4"": 581, ""1->5"": 40, ""1->7"": 4, ""2->2"": 5, ""2->4"": 3, ""3->2"": 1, ""4->1"": 513, ""4->3"": 1, ""4->4"": 14560, ""4->5"": 398, ""4->7"": 1075, ""5->4"": 28, ""5->5"": 5213, ""5->7"": 653, ""7->1"": 127, ""7->4"": 1518, ""7->5"": 3, ""7->7"": 8191}"
