controller,effective_win_rate,own_wez_occupancy,opponent_wez_exposure,max_g,g_integral,shield_rate
ppo,0.6883333333,0.00936750668,0.00477928467,9.166519089,582.49977186,0
shield,0.7816666667,0.01912377531,0.00367028512,9.370249124,597.95962125,0.00224571296
