filename,role,wez_threshold_deg,training_seed,matched_episode,bytes,sha256,scientific_status
matched_true_coordinate_replay_aggregate_theta3_seed2_ep7.mp4,combined_audit_representative,3,2,7,838855,134702B4F5C3799F627F07E75E39D8E75BD80FA8F83B181DE70B8BE32E2C59B2,DESCRIPTIVE_FROZEN_P0_7F2
matched_true_coordinate_replay_theta3_seed2_ep40.mp4,threshold_3deg_representative,3,2,40,641852,08BC3F000D5784A55C80A244CBAB021EFC2F87EF763F22150728C88C153474DF,DESCRIPTIVE_FROZEN_P0_7F2
matched_true_coordinate_replay_theta5_seed1_ep33.mp4,threshold_5deg_representative,5,1,33,233987,6BC15E9BB10118AA70781B519D8A998D3D9CC1200E06C7FAA402273DB22F65A3,DESCRIPTIVE_FROZEN_P0_7F2
