controller,theta_deg,seed,step,proposed_action,proposed_action_name,reward,red_x,red_y,red_z,blue_x,blue_y,blue_z,agent_role,opponent_role,distance,ata_blue,ata_red,aa_blue,aa_red,blue_in_WEZ,red_in_WEZ,mach_blue,mach_red,height_blue_ft,height_red_ft,height_blue_m,height_red_m,alpha_blue_deg,alpha_red_deg,g_y_blue,g_z_blue,g_exposure,max_g,min_blue_altitude_ft,max_blue_alpha_deg,executed_action,executed_action_name,shield_enabled,shield_intervened,veto_reason,done_cause,red_blood,blue_blood
ppo,5.0,0,0,5,position_tracking,-0.028199647901364172,-11093.094662064268,-1115.247170176269,-20636.761246882033,11095.532489233428,1102.2047021418757,-20716.921696456793,blue,red,6796.8260445485275,2.68685904688108,2.17926538465653,177.82073461534347,177.31314095311893,False,False,0.7689275288069369,0.7689489741380946,20716.921696456793,20636.761246882033,6314.517733080031,6290.084828049644,2.571498208957066,2.5365409762392446,0.01698139847732874,1.5389885166940118,0.9673938874065005,1.539082201316837,20716.921696456793,2.571498208957066,5,position_tracking,False,False,none,not_done,1.0,1.0
ppo,5.0,0,1,5,position_tracking,0.005126836268535153,-10296.004986887005,-1016.8230627883432,-20640.76783251948,10299.860582957243,995.5165834417189,-20716.732750128533,blue,red,6307.55568007034,4.114431637154599,4.206714689988245,175.79328531001175,175.8855683628454,False,False,0.7867618314956116,0.7868779473690019,20716.732750128533,20640.76783251948,6314.460142239177,6291.306035351938,3.897148891098085,3.6553296569482083,-0.025962860349355205,2.129221511633042,1.9510462943464695,2.1511100102578573,20715.998847516326,3.971702152948754,5,position_tracking,False,False,none,not_done,1.0,1.0
ppo,5.0,0,2,5,position_tracking,-0.008494729808834733,-9477.303191548408,-950.6446571833674,-20661.177330316514,9481.156258470128,931.2872587648862,-20727.348309022258,blue,red,5806.973823882523,3.272660546080191,3.119755409521151,176.88024459047884,176.72733945391983,False,False,0.8050953081138184,0.805083546773847,20727.348309022258,20661.177330316514,6317.695764589985,6297.526850280474,1.9003185199374646,1.6952187725679462,0.0057933219513975715,1.336607541054638,1.6867376430081567,2.1245506270895986,20716.732750128533,3.897148891098085,5,position_tracking,False,False,none,not_done,1.0,1.0
ppo,5.0,0,3,5,position_tracking,-0.048767509313023594,-8640.749282117818,-870.257379398006,-20684.35300262684,8644.112822462153,856.3568372946054,-20744.255532658837,blue,red,5294.677307728275,2.1216399119190372,1.2438247442846269,178.7561752557154,177.87836008808097,False,False,0.8241254549583795,0.8240040333436347,20744.255532658837,20684.35300262684,6322.849086354414,6304.590795200662,1.0478648015594942,0.20151337791131588,0.003092894900497873,1.047411823245174,1.2194650283708044,1.331419486898672,20727.348309022258,1.9003185199374646,5,position_tracking,False,False,none,not_done,1.0,1.0
ppo,5.0,0,4,5,position_tracking,-0.0028338370554823,-7785.83164131306,-773.4738125301333,-20694.83491157851,7789.38058455364,757.4681036572937,-20752.189644601982,blue,red,4770.234990957226,1.6592059721979682,1.608196905199293,178.3918030948007,178.34079402780202,False,False,0.8435762249325796,0.8433168391193908,20752.189644601982,20694.83491157851,6325.267403674685,6307.78568104913,1.1069521190080918,1.2770240538665514,0.015790446067124486,1.1493142155838736,0.9084018776862138,1.149422683058836,20744.255532658837,1.1069521190080918,5,position_tracking,False,False,none,not_done,1.0,1.0
ppo,5.0,0,5,5,position_tracking,0.01179037386198166,-6909.858661407183,-686.7059852336223,-20709.44659537624,6913.338107702038,669.0154005049765,-20761.026817555718,blue,red,4233.554707567257,3.080792912493083,3.293019642008776,176.70698035799123,176.91920708750692,False,False,0.8630602947925473,0.8625732700695461,20761.026817555718,20709.44659537624,6327.960973990983,6312.239322270679,1.826863432595257,1.9667025053414775,-0.01628984999583193,1.5372055949309928,1.4225783359777138,1.5558640413792668,20752.189644601982,1.8705924736134398,5,position_tracking,False,False,none,not_done,1.0,1.0
ppo,5.0,0,6,5,position_tracking,-0.0005317220396574081,-6013.932845208652,-604.4302499439053,-20736.88583602564,6016.4008466252835,590.1488759209445,-20779.507617822397,blue,red,3684.901715753577,1.730537065729068,1.7209660690152342,178.27903393098475,178.26946293427093,False,False,0.8825203479040012,0.8817801635767485,20779.507617822397,20736.88583602564,6333.5939219122665,6320.602802820616,0.6042323527462431,0.35882473910268564,0.0013413015605934276,0.9850429154024353,1.2317468433051963,1.5342526867687063,20761.026817555718,1.826863432595257,5,position_tracking,False,False,none,not_done,1.0,1.0
ppo,5.0,0,7,5,position_tracking,-0.02815535780992921,-5099.566205716929,-505.3977429581013,-20756.000490166116,5101.076484080492,491.85377787495503,-20792.675819576027,blue,red,3123.9987803279987,1.668553720424235,1.1617572798455182,178.83824272015448,178.33144627957577,False,False,0.9017925747229656,0.9010639458530572,20792.675819576027,20756.000490166116,6337.607589806773,6326.4289494026325,0.7153998336881006,0.45604957304091936,0.0225857560869192,1.0968548870307138,0.9260414418784657,1.097087398333049,20779.507617822397,0.7153998336881006,5,position_tracking,False,False,none,not_done,1.0,1.0
ppo,5.0,0,8,5,position_tracking,-0.006298563005794334,-4170.823325403913,-413.6257351773322,-20771.77425288561,4172.518148896545,397.84114629536407,-20806.1852367075,blue,red,2555.071508419545,2.7164884806123486,2.6031143465080984,177.39688565349192,177.28351151938767,False,False,0.9054993027049789,0.9055979274065666,20806.1852367075,20771.77425288561,6341.725260148447,6331.236792279535,1.343643278588129,1.507780998750512,-0.015107243530058876,1.4378771628033566,1.3594990040788881,1.482715042660075,20792.675819576027,1.407163404047111,5,position_tracking,False,False,none,not_done,1.0,1.0
ppo,5.0,0,9,5,position_tracking,-0.04163178502044159,-3241.109870945651,-336.15996726136257,-20789.632449488174,3243.434993743959,315.58163749152357,-20824.79246997265,blue,red,1986.4759900794995,1.57517098343797,0.8257988530700296,179.17420114692996,178.42482901656206,False,False,0.9021287889519258,0.9020227933753853,20824.79246997265,20789.632449488174,6347.396744847664,6336.679970603996,0.5264975020539223,-0.32540816806531264,-0.006475124648761648,1.0062709329050061,1.1030161452597411,1.4328065886500443,20806.1852367075,1.343643278588129,5,position_tracking,False,False,none,not_done,1.0,1.0
