controller,theta_deg,seed,step,proposed_action,proposed_action_name,reward,red_x,red_y,red_z,blue_x,blue_y,blue_z,agent_role,opponent_role,distance,ata_blue,ata_red,aa_blue,aa_red,blue_in_WEZ,red_in_WEZ,mach_blue,mach_red,height_blue_ft,height_red_ft,height_blue_m,height_red_m,alpha_blue_deg,alpha_red_deg,g_y_blue,g_z_blue,g_exposure,max_g,min_blue_altitude_ft,max_blue_alpha_deg,executed_action,executed_action_name,shield_enabled,shield_intervened,veto_reason,done_cause,red_blood,blue_blood
ppo_shield,5.0,0,0,6,high_yoyo,-0.11952031944284883,-11093.094689070585,-1115.2472041804099,-20636.761486847558,11095.69646211027,1101.95287052219,-20719.650116231227,blue,red,6796.871192329894,4.326120101324993,2.174754351353727,177.82524564864627,175.673879898675,False,False,0.7684781757916755,0.7689487770396756,20719.650116231227,20636.761486847558,6315.349355427278,6290.084901191136,3.70066552719031,2.5374574881438647,0.013137026817438651,1.9738092472199902,1.20666795956466,1.9738529646062157,20719.02141605885,3.70066552719031,6,high_yoyo,True,False,none,not_done,1.0,1.0
ppo_shield,5.0,0,1,6,high_yoyo,-0.19735432926495985,-10296.008243893808,-1016.8259978049223,-20640.801620137496,10302.255579133242,993.413030012264,-20740.46070085464,blue,red,6308.251618954279,7.737798961361792,4.185421034592514,175.8145789654075,172.2622010386382,False,False,0.7837382427819672,0.7868662670399343,20740.46070085464,20640.801620137496,6321.692421620495,6291.316333817909,5.321477017856807,3.6825334657022872,-0.0219658466716527,2.669750233122915,2.4556323693663296,2.6877500869693387,20719.650116231227,5.3878448593399435,6,high_yoyo,True,False,none,not_done,1.0,1.0
ppo_shield,5.0,0,2,6,high_yoyo,-0.2646697698583488,-9477.343960271764,-950.8616765241629,-20661.652384818386,9490.478064909392,927.3287330339457,-20795.76201371746,blue,red,5809.809878002106,7.858326112714323,3.0942702552640426,176.90572974473596,172.1416738872857,False,False,0.7990747839445125,0.805011390890608,20795.76201371746,20661.652384818386,6338.548261781082,6297.671646892644,2.805862803846954,1.7759238963184982,0.0068019604266596765,1.6893303570148694,2.154584540203455,2.6650676392443495,20740.46070085464,5.321477017856807,6,high_yoyo,True,False,none,not_done,1.0,1.0
ppo_shield,5.0,0,3,6,high_yoyo,-0.18507900295752688,-8640.923781632497,-871.1094634864425,-20687.243338313183,8664.367439670445,845.8713102876493,-20864.01921503625,blue,red,5300.824961565588,4.7754266235354885,1.4440045703000237,178.55599542969998,175.22457337646452,False,False,0.8161650163291801,0.8238384588194646,20864.01921503625,20687.243338313183,6359.353056743049,6305.471769517859,0.5050288245972112,0.48000018477095063,-0.020512856283594744,0.8048872644926431,1.2878181075563757,1.6814964232734033,20795.76201371746,2.805862803846954,6,high_yoyo,True,False,none,not_done,1.0,1.0
ppo_shield,5.0,0,4,6,high_yoyo,-0.13288129411787133,-7786.373306932157,-774.2282693712721,-20704.243572199197,7821.3892058965,738.7407610993487,-20908.466685707634,blue,red,4779.95046045046,4.249501821496382,1.8576385273747447,178.14236147262528,175.75049817850362,False,False,0.8340456892184992,0.842974828995907,20908.466685707634,20704.243572199197,6372.900645803687,6310.653440806315,0.8028704927852691,1.5317649523972925,0.034615115832898086,0.9939223520695003,0.56424193756229,0.9945249359304635,20864.01921503625,0.8028704927852691,6,high_yoyo,True,False,none,not_done,1.0,1.0
ppo_shield,5.0,0,5,6,high_yoyo,-0.21720354597683342,-6911.078882506473,-689.1214615743482,-20728.73625893478,6958.681104553876,640.2424887548746,-20950.828663373803,blue,red,4247.415895038215,7.2426368628557425,3.3329730352727367,176.66702696472726,172.75736313714427,False,False,0.8518571317124171,0.8618294816712222,20950.828663373803,20728.73625893478,6385.812576596335,6318.118811723321,3.1472178592972577,2.0004983566886074,-0.01620158853324599,2.112898114731885,1.6344044450046884,2.112960230271397,20908.466685707634,3.1472178592972577,6,high_yoyo,True,False,none,not_done,1.0,1.0
ppo_shield,5.0,0,6,6,high_yoyo,-0.47240013732733743,-6016.337193569461,-609.6951328450986,-20766.911288609237,6078.170697408114,566.3033235539701,-21022.118651628694,blue,red,3704.6082682864244,10.077490205642254,1.5742877337502248,178.4257122662498,169.92250979435775,False,False,0.8678285119077233,0.8806676824347913,21022.118651628694,20766.911288609237,6407.541765016426,6329.754560768096,3.0670072276211813,0.4902419505385196,-0.000593945899723305,2.1005007261256394,2.2647324339532955,2.359055634320091,20950.828663373803,3.5899346192903177,6,high_yoyo,True,False,none,not_done,1.0,1.0
ppo_shield,5.0,0,7,6,high_yoyo,-0.43992953619101216,-5103.689659830974,-512.5482591237648,-20801.30317093562,5185.639680382222,477.60996382605214,-21124.111864330385,blue,red,3152.2114356543307,9.502332918632629,1.5836012671944009,178.4163987328056,170.49766708136738,False,False,0.884251615770638,0.8996577443369946,21124.111864330385,20801.30317093562,6438.629296247902,6340.237206501177,0.936673602350087,1.1593300008328806,-0.008925726039152988,1.103670563155704,1.6047827578307703,2.091617840199963,21022.118651628694,3.0670072276211813,6,high_yoyo,True,False,none,not_done,1.0,1.0
ppo_shield,5.0,0,8,6,high_yoyo,-0.4023110392373406,-4177.015030773094,-420.91384773756766,-20844.5718773686,4277.4189576559675,381.916995354307,-21230.751790579303,blue,red,2591.1787553909053,10.244684076595645,3.0030853703235163,176.9969146296765,169.75531592340437,False,False,0.9008369513695389,0.9044718644378963,21230.751790579303,20844.5718773686,6471.133145768572,6353.425508221949,1.3460762961350374,2.2142193271695816,-0.014954718266862123,1.4111045247967802,1.1404179572001047,1.411183766736419,21124.111864330385,1.3460762961350374,6,high_yoyo,True,False,none,not_done,1.0,1.0
ppo_shield,5.0,0,9,6,high_yoyo,-0.6537712644688742,-3250.2717161392006,-348.5659688089404,-20899.484907998096,3357.700176549581,308.29260832748713,-21343.871496034964,blue,red,2028.5633096508393,14.09628710623577,2.328404345796049,177.67159565420394,165.90371289376424,False,False,0.902111968638626,0.9001751398692341,21343.871496034964,20899.484907998096,6505.612031991457,6370.16299995782,2.6165103552199893,0.20326865270468378,-0.010012551669353017,2.056373176007454,1.709481366512902,2.0563975515920836,21230.751790579303,2.6165103552199893,6,high_yoyo,True,False,none,not_done,1.0,1.0
